"","p","measure","imprecision"
"175",0.25,"i_local_cc5",0.122213589062408
"176",0.26,"i_local_cc5",0.119446940618939
"177",0.27,"i_local_cc5",0.115676068000986
"178",0.28,"i_local_cc5",0.118437542974268
"179",0.29,"i_local_cc5",0.117466811816641
"180",0.3,"i_local_cc5",0.115531747323553
"181",0.31,"i_local_cc5",0.117853806682221
"182",0.32,"i_local_cc5",0.116119429207993
"183",0.33,"i_local_cc5",0.115325713321352
"184",0.34,"i_local_cc5",0.114737553636731
"185",0.35,"i_local_cc5",0.115983088124605
"186",0.36,"i_local_cc5",0.116296598855701
"187",0.37,"i_local_cc5",0.116276876981377
"188",0.38,"i_local_cc5",0.117083870709069
"189",0.39,"i_local_cc5",0.116913752047925
"190",0.4,"i_local_cc5",0.114691414067566
"191",0.41,"i_local_cc5",0.111629774663036
"192",0.42,"i_local_cc5",0.112178482429413
"193",0.43,"i_local_cc5",0.111501269382398
"194",0.44,"i_local_cc5",0.108993177118768
"195",0.45,"i_local_cc5",0.109731483090815
"196",0.46,"i_local_cc5",0.10761665903719
"197",0.47,"i_local_cc5",0.107225106400368
"198",0.48,"i_local_cc5",0.10427962366382
"199",0.49,"i_local_cc5",0.105514543791904
"200",0.5,"i_local_cc5",0.105298417969035
